Numero de onda	Acido Tereftalico.0.dpt
2692.53472	0.88486
2690.48092	0.88325
2688.42712	0.88143
2686.37332	0.87953
2684.31951	0.8775
2682.26571	0.8753
2680.21191	0.87299
2678.15811	0.87065
2676.1043	0.86837
2674.0505	0.86626
2671.9967	0.86447
2669.9429	0.86295
2667.8891	0.86158
2665.83529	0.86036
2663.78149	0.85929
2661.72769	0.85837
2659.67389	0.85766
2657.62008	0.85726
2655.56628	0.85726
2653.51248	0.8575
2651.45868	0.85769
2649.40488	0.85777
2647.35107	0.85804
2645.29727	0.85856
2643.24347	0.85917
2641.18967	0.85988
2639.13586	0.86069
2637.08206	0.8614
2635.02826	0.86196
2632.97446	0.86247
2630.92066	0.86297
2628.86685	0.8634
2626.81305	0.86376
2624.75925	0.86428
2622.70545	0.8649
2620.65164	0.8655
2618.59784	0.86612
2616.54404	0.86662
2614.49024	0.86706
2612.43644	0.86772
2610.38263	0.86837
2608.32883	0.86878
2606.27503	0.86915
2604.22123	0.86941
2602.16742	0.86924
2600.11362	0.86884
2598.05982	0.86896
2596.00602	0.86955
2593.95222	0.86998
2591.89841	0.87009
2589.84461	0.87021
2587.79081	0.87065
2585.73701	0.8714
2583.6832	0.87197
2581.6294	0.87188
2579.5756	0.87159
2577.5218	0.87136
2575.468	0.87074
2573.41419	0.86969
2571.36039	0.86812
2569.30659	0.86622
2567.25279	0.86429
2565.19898	0.86223
2563.14518	0.85997
2561.09138	0.85732
2559.03758	0.85457
2556.98377	0.85257
2554.92997	0.85098
2552.87617	0.84931
2550.82237	0.84808
2548.76857	0.84735
2546.71476	0.8466
2544.66096	0.84569
2542.60716	0.84483
2540.55336	0.84404
2538.49955	0.84356
2536.44575	0.84368
2534.39195	0.84381
2532.33815	0.84348
2530.28435	0.84322
2528.23054	0.84351
2526.17674	0.84407
2524.12294	0.8445
2522.06914	0.84502
2520.01533	0.84566
2517.96153	0.84598
2515.90773	0.84621
2513.85393	0.84695
2511.80013	0.84794
2509.74632	0.84857
2507.69252	0.84887
2505.63872	0.84917
2503.58492	0.84969
2501.53111	0.85025
2499.47731	0.85078
2497.42351	0.85148
2495.36971	0.85231
2493.31591	0.85281
2491.2621	0.85297
2489.2083	0.85352
2487.1545	0.85454
2485.1007	0.8553
2483.04689	0.85594
2480.99309	0.85686
2478.93929	0.85746
2476.88549	0.85757
2474.83169	0.8578
2472.77788	0.85833
2470.72408	0.85876
2468.67028	0.85886
2466.61648	0.8591
2464.56267	0.85956
2462.50887	0.85963
2460.45507	0.85941
2458.40127	0.85943
2456.34747	0.85977
2454.29366	0.86006
2452.23986	0.86024
2450.18606	0.8607
2448.13226	0.86148
2446.07845	0.86218
2444.02465	0.8626
2441.97085	0.86288
2439.91705	0.86325
2437.86325	0.86374
2435.80944	0.86407
2433.75564	0.86435
2431.70184	0.86478
2429.64804	0.86531
2427.59423	0.86566
2425.54043	0.86555
2423.48663	0.86555
2421.43283	0.86613
2419.37903	0.86681
2417.32522	0.86726
2415.27142	0.86768
2413.21762	0.86825
2411.16382	0.86863
2409.11001	0.86877
2407.05621	0.86904
2405.00241	0.86951
2402.94861	0.86984
2400.89481	0.86996
2398.841	0.87015
2396.7872	0.8704
2394.7334	0.87084
2392.6796	0.87153
2390.62579	0.87233
2388.57199	0.87316
2386.51819	0.87385
2384.46439	0.87427
2382.41059	0.87424
2380.35678	0.8737
2378.30298	0.87292
2376.24918	0.87208
2374.19538	0.87132
2372.14157	0.8707
2370.08777	0.86973
2368.03397	0.86775
2365.98017	0.86522
2363.92637	0.86361
2361.87256	0.86333
2359.81876	0.86386
2357.76496	0.86459
2355.71116	0.86518
2353.65735	0.8668
2351.60355	0.86983
2349.54975	0.87245
