Numero de onda	hidroxietil_teraftalato.dpt
1653.31079	0.87275
1651.25699	0.88363
1649.20319	0.89015
1647.14939	0.89717
1645.09559	0.90475
1643.04178	0.90971
1640.98798	0.91336
1638.93418	0.91666
1636.88038	0.9205
1634.82657	0.92431
1632.77277	0.92644
1630.71897	0.92781
1628.66517	0.92895
1626.61137	0.92925
1624.55756	0.92942
1622.50376	0.93011
1620.44996	0.93044
1618.39616	0.93038
1616.34235	0.93099
1614.28855	0.93229
1612.23475	0.93369
1610.18095	0.93555
1608.12715	0.93772
1606.07334	0.94026
1604.01954	0.94299
1601.96574	0.9454
1599.91194	0.94715
1597.85813	0.9485
1595.80433	0.94982
1593.75053	0.95103
1591.69673	0.95208
1589.64293	0.95308
1587.58912	0.95384
1585.53532	0.95384
1583.48152	0.95319
1581.42772	0.95235
1579.37391	0.95182
1577.32011	0.95189
1575.26631	0.95258
1573.21251	0.95329
1571.15871	0.9543
1569.1049	0.95567
1567.0511	0.95608
1564.9973	0.9558
1562.9435	0.95565
1560.88969	0.95564
1558.83589	0.95576
1556.78209	0.95553
1554.72829	0.95493
1552.67449	0.95463
1550.62068	0.95461
1548.56688	0.95434
1546.51308	0.95372
1544.45928	0.95324
1542.40547	0.95315
1540.35167	0.95271
1538.29787	0.95097
1536.24407	0.94848
1534.19026	0.94453
1532.13646	0.93875
1530.08266	0.93346
1528.02886	0.92949
1525.97506	0.92674
1523.92125	0.92475
1521.86745	0.92236
1519.81365	0.9194
1517.75985	0.91548
1515.70604	0.9098
1513.65224	0.9031
1511.59844	0.89459
1509.54464	0.88165
1507.49084	0.8527
1505.43703	0.80874
1503.38323	0.79119
1501.32943	0.80237
1499.27563	0.82961
1497.22182	0.8546
1495.16802	0.86609
1493.11422	0.86905
1491.06042	0.8693
1489.00662	0.86917
1486.95281	0.8704
1484.89901	0.87329
1482.84521	0.87774
1480.79141	0.88366
1478.7376	0.88998
1476.6838	0.89593
1474.63	0.90096
1472.5762	0.90455
1470.5224	0.90632
1468.46859	0.90563
1466.41479	0.899
1464.36099	0.87916
1462.30719	0.85005
1460.25338	0.8252
1458.19958	0.81074
1456.14578	0.80907
1454.09198	0.8149
1452.03818	0.82327
1449.98437	0.83023
1447.93057	0.83212
1445.87677	0.83424
1443.82297	0.84261
1441.76916	0.85442
1439.71536	0.86436
1437.66156	0.87162
1435.60776	0.87693
1433.55396	0.88023
1431.50015	0.88254
1429.44635	0.88419
1427.39255	0.88459
1425.33875	0.88306
1423.28494	0.87887
1421.23114	0.87069
1419.17734	0.85257
1417.12354	0.82042
1415.06974	0.7769
1413.01593	0.71957
1410.96213	0.65398
1408.90833	0.59887
1406.85453	0.58029
1404.80072	0.61794
