Numero de onda	Bis2 hidroxiet tereftalato.1.dpt
2144.16953	0.99272
2142.11572	0.99285
2140.06192	0.99359
2138.00812	0.99355
2135.95432	0.9929
2133.90052	0.99305
2131.84671	0.993
2129.79291	0.99188
2127.73911	0.99056
2125.68531	0.99001
2123.6315	0.99027
2121.5777	0.99033
2119.5239	0.9895
2117.4701	0.98816
2115.4163	0.98689
2113.36249	0.98633
2111.30869	0.98658
2109.25489	0.98703
2107.20109	0.98734
2105.14728	0.98805
2103.09348	0.98928
2101.03968	0.99035
2098.98588	0.99126
2096.93208	0.99214
2094.87827	0.99254
2092.82447	0.99228
2090.77067	0.99204
2088.71687	0.99246
2086.66306	0.99342
2084.60926	0.99412
2082.55546	0.99423
2080.50166	0.99401
2078.44786	0.9936
2076.39405	0.99373
2074.34025	0.99466
2072.28645	0.99526
2070.23265	0.99554
2068.17884	0.9963
2066.12504	0.99654
2064.07124	0.99629
2062.01744	0.99651
2059.96364	0.99643
2057.90983	0.99581
2055.85603	0.99589
2053.80223	0.99665
2051.74843	0.99699
2049.69462	0.99756
2047.64082	0.99814
2045.58702	0.99778
2043.53322	0.9974
2041.47942	0.99742
2039.42561	0.99783
2037.37181	0.99874
2035.31801	0.99975
2033.26421	0.99942
2031.2104	0.99746
2029.1566	0.99652
2027.1028	0.99801
2025.049	0.99964
2022.9952	0.99993
2020.94139	0.99982
2018.88759	0.99981
2016.83379	1.0
2014.77999	0.99946
2012.72618	0.99778
2010.67238	0.99727
2008.61858	0.99838
2006.56478	0.99927
2004.51098	0.99867
2002.45717	0.99661
2000.40337	0.99541
1998.34957	0.99627
1996.29577	0.99708
1994.24196	0.99652
1992.18816	0.9954
1990.13436	0.99366
1988.08056	0.99149
1986.02676	0.99046
1983.97295	0.98979
1981.91915	0.98794
1979.86535	0.9873
1977.81155	0.98943
1975.75774	0.99096
1973.70394	0.99052
1971.65014	0.99067
1969.59634	0.9918
1967.54254	0.99191
1965.48873	0.99058
1963.43493	0.98894
1961.38113	0.98805
1959.32733	0.98819
1957.27352	0.98735
1955.21972	0.98308
1953.16592	0.97704
1951.11212	0.97345
1949.05832	0.97403
1947.00451	0.97769
1944.95071	0.98278
1942.89691	0.98784
1940.84311	0.99136
1938.7893	0.99316
1936.7355	0.99461
1934.6817	0.99629
1932.6279	0.99727
