Numero de onda	Teraftalato de polietileno.dpt
3010.87407	0.98974
3008.82027	0.98909
3006.76646	0.98879
3004.71266	0.98859
3002.65886	0.98803
3000.60506	0.98708
2998.55125	0.98595
2996.49745	0.98485
2994.44365	0.98393
2992.38985	0.9832
2990.33605	0.98241
2988.28224	0.98133
2986.22844	0.97994
2984.17464	0.97837
2982.12084	0.97685
2980.06703	0.97545
2978.01323	0.97381
2975.95943	0.97193
2973.90563	0.96998
2971.85183	0.96771
2969.79802	0.96522
2967.74422	0.96301
2965.69042	0.9612
2963.63662	0.96011
2961.58281	0.96023
2959.52901	0.96104
2957.47521	0.96175
2955.42141	0.9623
2953.36761	0.96336
2951.3138	0.96549
2949.26	0.96785
2947.2062	0.96955
2945.1524	0.97098
2943.09859	0.97212
2941.04479	0.97256
2938.99099	0.97281
2936.93719	0.97348
2934.88339	0.97404
2932.82958	0.97378
2930.77578	0.97317
2928.72198	0.9728
2926.66818	0.97244
2924.61437	0.97212
2922.56057	0.97191
2920.50677	0.97148
2918.45297	0.97105
2916.39917	0.97116
2914.34536	0.97207
2912.29156	0.97377
2910.23776	0.97558
2908.18396	0.97658
2906.13015	0.9767
2904.07635	0.97643
2902.02255	0.97623
2899.96875	0.97629
2897.91494	0.97671
2895.86114	0.9775
2893.80734	0.97849
2891.75354	0.97949
2889.69974	0.98028
2887.64593	0.98091
2885.59213	0.98157
2883.53833	0.98201
2881.48453	0.98215
2879.43072	0.98255
2877.37692	0.98296
2875.32312	0.98274
2873.26932	0.98238
2871.21552	0.98268
2869.16171	0.98331
2867.10791	0.98367
2865.05411	0.98378
2863.00031	0.98383
2860.9465	0.98387
2858.8927	0.98384
2856.8389	0.98347
2854.7851	0.98265
2852.7313	0.98198
2850.67749	0.98225
2848.62369	0.98371
2846.56989	0.98567
2844.51609	0.98708
2842.46228	0.988
2840.40848	0.98918
2838.35468	0.9905
2836.30088	0.99134
2834.24708	0.99164
2832.19327	0.99172
2830.13947	0.99163
2828.08567	0.99154
2826.03187	0.99166
2823.97806	0.99161
2821.92426	0.99148
2819.87046	0.9917
2817.81666	0.99209
2815.76286	0.99239
2813.70905	0.99271
2811.65525	0.99302
2809.60145	0.99307
2807.54765	0.99294
2805.49384	0.99298
2803.44004	0.99297
2801.38624	0.99275
2799.33244	0.9925
2797.27864	0.9924
2795.22483	0.99279
2793.17103	0.99353
2791.11723	0.99388
2789.06343	0.99368
2787.00962	0.99342
2784.95582	0.99348
2782.90202	0.99357
2780.84822	0.99337
2778.79442	0.99311
2776.74061	0.99321
2774.68681	0.99364
2772.63301	0.99391
2770.57921	0.99389
2768.5254	0.99376
2766.4716	0.99379
2764.4178	0.99393
2762.364	0.99384
2760.3102	0.99368
2758.25639	0.99385
2756.20259	0.99398
2754.14879	0.99373
2752.09499	0.99355
2750.04118	0.99369
2747.98738	0.9939
2745.93358	0.99396
2743.87978	0.99392
2741.82598	0.99398
2739.77217	0.99418
2737.71837	0.99445
2735.66457	0.99457
2733.61077	0.99442
