Numero de onda	POLIETILENO.3.dpt
2174.97656	0.99433
2172.92276	0.99346
2170.86896	0.99265
2168.81515	0.99217
2166.76135	0.9927
2164.70755	0.99401
2162.65375	0.99377
2160.59994	0.99192
2158.54614	0.99162
2156.49234	0.99314
2154.43854	0.99434
2152.38474	0.99468
2150.33093	0.99475
2148.27713	0.99491
2146.22333	0.9948
2144.16953	0.99398
2142.11572	0.99356
2140.06192	0.99378
2138.00812	0.99361
2135.95432	0.99382
2133.90052	0.99473
2131.84671	0.99514
2129.79291	0.995
2127.73911	0.99483
2125.68531	0.9942
2123.6315	0.99311
2121.5777	0.99258
2119.5239	0.99297
2117.4701	0.99321
2115.4163	0.99275
2113.36249	0.99267
